ST,CANARYS,48.95,0.93,275.02,0.2,0.1
EQ,CANBK,107.57,2.19,97573.0,87.66,94.25
EQ,CANFINHOME,785.65,0.47,10461.25,2.33,18.47
EQ,CANTABIL,284.55,5.14,2379.92,1.58,4.44
EQ,CAPACITE,320.45,4.23,2711.14,9.21,29.17
EQ,CAPITALSFB,320.0,0.09,1441.36,0.67,2.15
EQ,CAPLIPOINT,1570.75,1.62,11939.54,0.43,6.81
EQ,CAPTRUST,132.55,-0.91,216.87,0.18,0.24
EQ,CARBORUNIV,1625.0,1.6,30918.84,1.05,17.03
EQ,CAREERP,518.9,1.56,944.03,0.18,0.93
EQ,CARERATING,942.1,-1.1,2816.38,0.16,1.49
EQ,CARTRADE,915.5,5.45,4324.56,1.9,17.02
EQ,CARYSIL,778.9,1.92,2213.29,0.32,2.47
EQ,CASTROLIND,249.2,0.85,24639.55,33.45,84.51
SM,CBAZAAR,14.3,-0.35,30.68,0.08,0.01
BE,CCHHL,24.64,-2.03,402.78,0.16,0.04
EQ,CCL,646.0,2.26,8625.9,0.81,5.17
EQ,CDSL,2317.45,0.28,24217.35,9.71,226.82
EQ,CEATLTD,2594.15,1.69,10493.36,0.62,16.11
EQ,CELEBRITY,17.05,1.01,96.42,2.45,0.42
SM,CELLECOR,296.85,2.13,622.43,0.34,1.0
EQ,CELLO,915.8,0.85,20228.65,0.49,4.51
SM,CELLPOINT,34.0,0.59,63.53,0.08,0.03
EQ,CENTENKA,700.1,19.03,1529.76,13.49,90.88
EQ,CENTEXT,25.44,-1.01,203.52,1.75,0.45
EQ,CENTRALBK,59.67,1.74,51799.17,39.06,23.32
EQ,CENTRUM,39.86,-0.99,1658.31,3.28,1.31
EQ,CENTUM,1618.25,0.54,2087.03,0.05,0.85
EQ,CENTURYPLY,693.65,1.04,15411.03,0.67,4.61
EQ,CENTURYTEX,2199.1,1.45,24563.0,1.24,27.45
EQ,CERA,9870.3,4.59,12837.19,1.46,144.82
EQ,CEREBRAINT,9.71,4.97,117.67,3.97,0.38
EQ,CESC,174.02,2.05,23067.58,32.71,56.69
EQ,CGCL,209.99,0.73,17322.91,0.89,1.88
EQ,CGPOWER,690.05,-0.17,105465.18,7.53,52.37
SM,CGRAPHICS,162.2,3.97,393.92,0.29,0.46
EQ,CHALET,808.8,0.8,17639.95,0.22,1.76
EQ,CHAMBLFERT,511.2,2.67,20481.25,21.07,107.05
SM,CHAVDA,151.9,2.84,374.52,0.17,0.26
EQ,CHEMBOND,603.2,-2.31,811.2,0.26,1.59
EQ,CHEMCON,252.4,-0.3,924.56,0.5,1.27
EQ,CHEMFAB,900.55,3.97,1281.18,0.11,1.03
EQ,CHEMPLASTS,554.0,1.56,8759.27,1.94,10.71
EQ,CHENNPETRO,923.4,-1.31,13750.48,5.19,48.9
ST,CHETANA,87.25,-5.01,177.99,2.1,1.83
EQ,CHEVIOT,1479.0,8.71,864.01,0.35,5.1
EQ,CHOICEIN,383.8,0.43,7652.17,1.44,5.52
EQ,CHOLAFIN,1357.75,0.81,114083.75,2.41,32.89
EQ,CHOLAHLDNG,1470.65,0.31,27615.49,0.21,3.05
EQ,CIEINDIA,559.3,1.88,21217.74,1.48,8.24
EQ,CIGNITITEC,1356.4,0.03,3702.98,0.28,3.75
EQ,CINELINE,125.24,2.07,429.15,0.14,0.17
